Country;Surname;Median growth;Mean growth;Average Temp;Average humidity
Afghanistan;kabul;1;1,2083333333333333;32,62172413793104;0,603103448275862
Albania;tirane;1,434782608695652;2,1469565217391304;41,66068965517242;0,8472413793103447
Algeria;algiers;1;1,36959630911188;52,54034482758622;0,8148275862068967
Andorra;andorra la vella;1;1,0909090909090908;37,83344827586206;0,5210344827586207
Argentina;buenos aires;1,2254901960784315;1,609600019974034;72,4641379310345;0,7431034482758622
Armenia;yerevan;1;1,5833333333333333;26,25448275862069;0,739310344827586
Australia;canberra;1,0416666666666667;1,0957085735985423;77,89896551724138;0,45724137931034486
Austria;vienna;1,3893129770992367;1,4154111092793953;40,233793103448285;0,7575862068965515
Azerbaijan;baku;1;1,1709401709401708;43,22448275862069;0,7737931034482759
Bahrain;manama;1,0647773279352226;1,2616818996652581;63,524482758620685;0,8134482758620689
Bangladesh;dhaka;1;1;72,4196551724138;0,5900000000000001
Belarus;minsk;1;1,4388888888888889;31,70413793103448;0,8379310344827586
Belgium;brussels;1;1,351542942055303;42,35965517241379;0,8510344827586208
Bhutan;thimphu;1;1;45,789655172413795;0,4672413793103448
Bolivia;"la paz; sucre";1;1,1666666666666667;55,87206896551722;0,9082758620689657
Bosnia and Herzegovina;sarajevo;1;1,3055555555555556;32,550000000000004;0,8293103448275863
Brazil;brasilia;1,3378947368421055;1,381919524618828;68,10793103448276;0,914827586206897
Brunei;bandar seri begawan;1,5416666666666667;4,020833333333333;88,0148275862069;0,7117241379310344
Bulgaria;sofia;1,0833333333333335;1,277777777777778;31,541379310344826;0,8344827586206895
Burkina Faso;ouagadougou;1;1;67,95724137931036;0,14965517241379309
Cambodia;phnom penh;1;1,0557971014492753;86,9134482758621;0,5255172413793103
Cameroon;yaounde;1;1,125;70,12758620689655;0,996206896551724
Canada;ottawa;1;1,1313190665640414;18,28655172413793;0,7586206896551723
Chile;santiago;1,3053613053613053;1,6698446395888855;63,32275862068964;0,6168965517241379
China;beijing;1,0267997451688256;1,1266086637467232;40,192413793103455;0,4058620689655174
Colombia;bogota;1;1,6825396825396826;52,665862068965524;0,8444827586206898
Costa Rica;san jose;1,2449494949494948;1,3303677803677803;63,63206896551724;0,9399999999999997
